run,A,B,C,y
1,0.1,0.1,0.8,6.5200000000000005
2,0.1,0.2,0.7,6.239999999999999
3,0.1,0.3,0.6000000000000001,5.960000000000001
4,0.1,0.4,0.5,5.68
5,0.1,0.5,0.4,5.4
6,0.1,0.6,0.30000000000000004,5.12
7,0.2,0.1,0.7000000000000001,6.340000000000001
8,0.2,0.2,0.6000000000000001,6.080000000000001
9,0.2,0.3,0.5,5.82
10,0.2,0.4,0.4,5.5600000000000005
11,0.2,0.5,0.30000000000000004,5.300000000000001
12,0.3,0.1,0.6,6.159999999999999
13,0.3,0.2,0.49999999999999994,5.919999999999999
14,0.3,0.3,0.39999999999999997,5.68
15,0.3,0.4,0.29999999999999993,5.4399999999999995
16,0.4,0.1,0.5,5.98
17,0.4,0.2,0.39999999999999997,5.76
18,0.4,0.3,0.3,5.540000000000001
19,0.5,0.1,0.4,5.8
20,0.5,0.2,0.3,5.6000000000000005
21,0.6,0.1,0.30000000000000004,5.62
