citation_key,authors,title,year,journal,volume,issue,pages_or_article,DOI,source_1,source_2,verification_date,verification_status,notes
Cornell2002,"John A. Cornell","Experiments with Mixtures: Designs, Models, and the Analysis of Mixture Data",2002,"John Wiley & Sons",,,,"10.1002/9781118204221","Wiley Online Library book record","User-supplied pages from the same edition",2026-08-13,verified,"Print ISBN 9780471393672; source excerpt is incomplete but bibliographic identity matches."
BrownDonevBissett2015,"L. Brown; A. N. Donev; A. C. Bissett","General Blending Models for Data From Mixture Experiments",2015,Technometrics,57,4,"449-456","10.1080/00401706.2014.947003","Taylor & Francis full article","PubMed/PMC record",2026-08-13,verified,"Open-access article; equations used for fixed-exponent GBM basis."
PradubsriChomteeBorkowski2019,"Wasinee Pradubsri; B. Chomtee; J. Borkowski","Using a Genetic Algorithm to Generate D-Optimal Designs for Mixture-Process Variable Experiments",2019,"Quality and Reliability Engineering International",35,,"2657-2676","10.1002/qre.2549","Wiley DOI/publisher record from state-of-art search","Consensus indexed record",2026-08-13,verified,"Supports GA-based mixture-process design rationale and FDS evaluation."
KristoffersenSmucker2020,"Paul Kristoffersen; Byran J. Smucker","Model-Robust Design of Mixture Experiments",2020,"Quality Engineering",32,4,"663-675","10.1080/08982112.2020.1722831","Taylor & Francis full article","Taylor & Francis bibliographic/citation record",2026-08-13,publisher_verified,"Second independent metadata source should be rechecked immediately before manuscript submission."
BecerraGoos2021,"Mario Becerra; Peter Goos","Bayesian I-Optimal Designs for Choice Experiments with Mixtures",2021,"Chemometrics and Intelligent Laboratory Systems",217,,104395,"10.1016/j.chemolab.2021.104395","ScienceDirect article record","Consensus indexed record",2026-08-13,verified,"Prediction-oriented Bayesian I-optimality reference."
ChatterjeeLin2023,"Kashinath Chatterjee; Chang-Yun Lin","Design Construction and Model Selection for Small Mixture-Process Variable Experiments with High-Dimensional Model Terms",2023,"Quality Engineering",35,3,"388-398","10.1080/08982112.2022.2135444","Taylor & Francis article record","Consensus indexed record",2026-08-13,verified,"Online publication 2022; volume/issue publication year 2023."
BecerraGoos2023,"Mario Becerra; Peter Goos","Bayesian D- and I-Optimal Designs for Choice Experiments Involving Mixtures and Process Variables",2023,"Food Quality and Preference",110,,104928,"10.1016/j.foodqual.2023.104928","ScienceDirect article record","Consensus indexed record",2026-08-13,verified,"Mixture-process choice designs."
CornellGood1970,"John A. Cornell; I. J. Good","The Mixture Problem for Categorized Components",1970,"Journal of the American Statistical Association",65,329,"339-355","10.1080/01621459.1970.10481084","Taylor & Francis issue/article record","JSTOR issue record (stable DOI 10.2307/2283597)",2026-08-13,verified,"Categorized-component foundation."
Scheffe1958,"Henry Scheffé","Experiments with Mixtures",1958,"Journal of the Royal Statistical Society: Series B (Methodological)",20,2,"344-360","10.1111/j.2517-6161.1958.tb00299.x","Oxford Academic article record","Wiley Online Library article record",2026-08-13,verified,"Canonical mixture-model foundation."
Becker1968,"Norman G. Becker","Models for the Response of a Mixture",1968,"Journal of the Royal Statistical Society: Series B (Methodological)",30,2,"349-358","10.1111/j.2517-6161.1968.tb00735.x","Oxford Academic article record","Cornell/Wiley bibliography",2026-08-13,verified,"Homogeneous-degree-one model foundation."
Cox1971,"D. R. Cox","A Note on Polynomial Response Functions for Mixtures",1971,Biometrika,58,1,"155-159","10.1093/biomet/58.1.155","Oxford Academic article record","JSTOR issue record",2026-08-13,verified,"Cox mixture-polynomial parameterization."
CornellOtt1975,"John A. Cornell; Lyman Ott","The Use of Gradients to Aid in the Interpretation of Mixture Response Surfaces",1975,Technometrics,17,4,"409-424","10.1080/00401706.1975.10489367","Bibliographic DOI record indexed from Technometrics","Cornell/Wiley bibliography",2026-08-13,verified,"Supports gradient/component-direction interpretation."
